,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
65,urg guy damn annoying man,1,Toxic
66,warning vandal recently warned ip address vandalism confucius saying congratulation idiot please donot write thing donot bite newbie future use standard user warning template,1,Toxic
67,mordivskije jazuki latinized form,1,Toxic
68,16 july 2006 utc also fact allied control commission presented list acceptable conviction paasikivi pre decision court wa presented would released kivimäki given small sentence tanner paasikivi contacted member court pressured give wanted conviction four member court resisted pressure wa show trial even paasikivi admitted political necessity new political situation due way law regarding trial written excluded military leadership totally especially mannerheim heinrichs instrumental negotiation germany political leadership assessment responsible indicted correct decision could said military made decision political structure wa dragging feets setting condition finnish participation 22 51,0,Non-Toxic
69,disney kid disney kid rebrand true decide gay man trust,1,Toxic
70,dear cluebot ng suck far better,1,Toxic
71,wp selfpub saw edit explanation curious doe apply self published source specifically electronic intifada example allowed make claim third party,0,Non-Toxic
72,fuck asshole donot stop insulting harry potter motherfucking bitchasshole fuck harry potter fuck harry potter fan die motherfucker die,1,Toxic
73,wa mistake delete like wonot able hide fact sick disgusting,1,Toxic
74,emos fucking gay stupid fucking emos die,1,Toxic
75,receptive bareback anal sex,1,Toxic
76,nothing mo give support bizarre wording trying enforce even tried explain think saying x described random population segment best known z somehow better saying x z motivation appears mixture stupidity spite,0,Non-Toxic
77,jaffa cinema advertisement origin anyone verify time jafa jaffa came use also originated belief proven otherwise term emerged advertisement picture theater cinema starting showing advertisement jaffa chocolate confectionery screening movie advertisement clip featured picture auckland city huge jaffa dropped squash part city coinciding farting sound effect believe advertisement wa circulated picture theater auckland perhaps also around country early 1990 believe point aucklanders became known jafas jaffa non aucklanders acronym another fucking aucklander another fuckwit auckland came point mention thing especially cinema advertisement article,0,Non-Toxic
78,also know dick missing song wrote hour ago ha deleted response fornicate command king,1,Toxic
79,31 hour guy got kidding get raped brain,1,Toxic
80,comment well think made page make credible information suck page terrible call article dog could write something better,1,Toxic
81,fuck conversation likely end gay,1,Toxic
82,go fuck man piss addwittynamehere,1,Toxic
83,aha much attack wa complimenting cool people self righteous call others asshole xd thanks,1,Toxic
84,already given reason regarding source regarding wangernest edit revert editor without much edit summary doesnot count discussion,0,Non-Toxic
85,sandstein extremly clueless belief ending editor conflict important article quality reach end ending editor conflict considering massive number sock unblockability sandstein belief blocking editor oppose sock correct action take mix useful idiot zealous racist government funded editor ha already taken control ip area outside admins donot want deal shit wmf share ideology cabal pushing,0,Non-Toxic
86,word wa changed increase readability find using search engine resaonable one word reveals multiple time result said razed commonly used aguing fact arguing demolished much commonly used would increase understandability thank understanding,0,Non-Toxic
87,hate class suck,1,Toxic
88,stupid fact call fact extreme source whoever writing article obviously fool stop miseducating people,1,Toxic
89,people group delusion never editted page talking people drug skankbitch,1,Toxic
90,2005 utc army wiki moron one tired army wiki moron nature wikipedia professional usually refrain contributing area expertise first would low status respected expert going contribute avant garde encyclopedia written book paid write writing wiki certainly donot fit professionalism secondly importantly motherfucking army wikipedic moron fight whatever insight serious info professional may contribute wiki moron mostly consists student slacker computing geek donot fucking nothing everyday self smug smattering knowledge think holder justice et al full fledged fucking wiki rule npov half openly opensource ideology sell blow away fuck expert contribution time even subject controversial sense unavoidable weakness wikipedia despite wikipedia tremendous usefulness overall trust worthyness wikipedia massive info utility general benefit human animal far beyond commercial professional encyclopedia however come deep academic subject depth seriousness examed wikipedia laughing stock writing whoever may reading talk page despise wikipedian fuckhead though rather nameless see also http xahlee org pbooks_dir book html xah xah xahlee org http xahlee org 06 19 19 october,1,Toxic
91,fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck,1,Toxic
92,looked like trying emphasis amount research rather result common practice tm movement easily seen tm org organization love comment many study done ha done rather fact generally poorly conducted email write page reply mine,0,Non-Toxic
93,dude cumdrinker fucking juggalo,1,Toxic
94,agree wiki article full bias white christian people british colonist tried edit second paragraph regarding british trying infect indian smallpox use blanket nonsense added citation wa needed support claim wiki editor true creed put article right back way wa le 2 hour people 1760s know smallpox wa contracted association person word highly doubtful anyone actually believed smallpox could transferred way inanimate object e g blanket tomahawk piece meat twig etc donot know story came white people trying infect indian smallpox blanket seen quite attempt plant nonsense narrative white indian conflict would never give wiki dime charity grossly biased reporting american history always anti white christian always steven,1,Toxic
95,white engaging papal orgy black cat murdering jewish baby bone made host doubt want live diluded world paranoid 16th century religion right wikipedia follows objective factual criterion religious fantasy much le religious paranoia article writing want write paranoid ramblings religious rant go back sixteenth century want contribute wikipedia learn difference fantasy paranoia reality,1,Toxic
96,also real gnaa huge pile legal mess future,1,Toxic
97,vandels makin vag extra wide please stop fag pull dick mouth,1,Toxic
98,want tell wp editor never joined facebook group sock puppet member facebook group fuxx isalam great researcher think 50 like wp editor sock destroy great wikipedia month,1,Toxic
99,ilir idiot kosovo still part montenegro offically split wonot change,1,Toxic
100,53 29 july 2014 utc donot think reception section negative enough problem lol none quoted reviewer noteworthy apart rotten tomato deeming absolutely legitimate basis excluding offer added yesterday working compromise suddenly going back isnot conducive civil productive editing 17,0,Non-Toxic
101,ha higher worldwide traffic ranking motley fool,1,Toxic
102,stupid retard kill,1,Toxic
103,example required time sockpuppets zero credibility,0,Non-Toxic
104,motherfucker hoped perminant shutdown,1,Toxic
105,well fuck,1,Toxic
106,rouge wave frickin awsomeeeeeee,0,Non-Toxic
107,stupid hate united kingdom united state,1,Toxic
108,stupid minor controversy like thing even mentioned see beyonce adele adkins article donot cite minor controversy beyonce fake baby bump adele middle finger 2012 brit award,1,Toxic
109,ಮನ ಹಣ ಯಲ ಲ ಬರ ಯದ ಜ ವನ ಚರ ತ ರ ಪ ಸ ತಕದಲ ಲ ಬರ ದರ ತ ತ ಳ ದವರ ದ ಅರ ತ ನಡ ದ ದ ರ ಯಲ ಲ ನ ವ ದ ಕಣ ಣ ಮ ಚ ಚ ಕ ಳ ತ ತದ ದ ಕ ಹಣ ಹಣದ ದಲ ಇ ದ ಎಲ ಲ ಕ ರ ಯವ ಸ ಗಮ ಹಣ ಇದ ರ ನ ವ ಇಲ ಲದ ಇದ ರ ನ ವ ಯ ರ ಹಣದ ದಲ ಪಡ ಯಬಹ ದ ಶ ಕ ಷಣವನ ನ ಹಣಕ ಕ ಗ ಯ ದ ಡ ವವರ ಎಲ ಲರ ಹಣವ ಮ ಲ ಸರ ವಕ ಷ ತ ರಗಳ ಬ ಳವಣ ಗ ಗ ಹಣವ ಶ ಕ ಷಕರ ಮ ಲ ಗ ರ ಸಮ ಜದ ಏಳ ಗ ಗ ಹಣಯ ಳ ಳವನ ಮಹ ರ ಜ ತನ ನ ಪ ಲ ಗ ಇತರ ಗ ಹಣದ ದಲ ಪಡ ಯಬಹ ದ ಪದವ ಪ ರಸ ಕ ರಗಳನ ನ ಹಣವ ಲ ಲದ ಜ ವ ಸ ವ ದ ತ ಬ ಕಷ ಟದ ವ ಚ ರ ಹಣಕ ಕ ಸ ಕರವ ನಡ ಯ ತ ತ ದ ಮ ಸ ವ ಚನ ಕ ಲ ಸ ಲ ಗ ಅನ ಯ ಯ ಆಕ ರಮ ಭ ರಷ ಟ ಚರ ಹಣದ ದಲ ನಡ ಯ ತ ತ ಮ ನಸ ವರ ಶ ಹಣಕ ಕ ಗ ಯ ದಹ ಸ ಬ ಡ ವವರ ಮನ ಷ ಯನ ಅ ತರ ಗ ಭ ವನ ಗಳ ಕನಸ ಸ ಗಳ ಚ ತನ ಯನ ನ ಹಣದ ಮದವ ದ ಮನ ಷ ಯನ ಹ ಗ ದ ಶದ ಸ ಸ ಕ ತ ಯನ ನ ಮರ ತ ಬ ಡ ವವರ ಮ ರ ಕ ಳ ಳ ವವರ ಹಣ ಸ ಪ ದನ ಯ ಎಲ ಲರ ಗ ರ ಅದ ಯ ವ ರ ತ ಯಲ ಲ ಗಳ ಸ ದರ ತ ಪ ತ ಯ ತ ಅರ ತ ಕ ಳ ಳ ವ ದ ನ ವ ಹಣ ಹಣದ ದಲ ಹ ಣಗಳ ರ ಳ ಬ ಳ ತ ತವ ಮ ದ ಭಯ ನಕ ಸ ಮ ರ ಜ ಯದ ಅಧ ಪತ ಯ ಮ ಖವ ಡವ ಹಣ ಏನನ ನ ಸ ಧ ಸಲ ಗದ ಪಡ ಯಲ ಗದ ಗಳ ಸಲ ಗದ ಎಲ ಲ ರ ವ ತ ತ ಪರ ಹಣಕ ಕ ಸ ಕರ ಜ ವ ಸ ವ ಸಲ ವ ಗ ಪಡ ವ ರ ತ ಯ ಹಣದ ಮ ಲಕವ ಪಡ ಯಲ ಹ ರಟವರ ನ ವ ಸ ನ ಹಕ ಕ ಬ ಲ ಯ ಲ ಲ ಪ ರ ತ ಗ ಅರ ಥನ ಇಲ ಲ ಬದ ಕ ಗ ಗ ರ ಯ ಲ ಲ ಸ ಲ ಗ ಲ ಕ ಕನ ಇಲ ಲ ವ ದ ಯ ಗ ಅರ ಹತ ಯ ಲ ಲ ತ ಳ ವಳ ಕ ಗ ಕ ನ ಯ ಲ ಲ ಭ ವನ ಗಳ ಗ ಬ ಲ ಯ ಲ ಲ ಕನಸ ಸ ಗಳ ಗ ಲ ಕ ಕನ ಇಲ ಲ ವ ಯಕ ತ ಗ ಬ ಲ ಯ ಲ ಲ ವ ಯಕ ತ ತ ವಕ ಕ ಅಳತ ಯ ಇಲ ಲ ಸತ ಯವ ತರ ಗ ನ ಯ ಯಲಯದಲ ಲ ಅವಕ ಶಗಳಲ ಲ ಲ ಸ ನ ಹ ತರ ಬ ಕ ಲ ಲ ಸ ವ ದನ ಗ ಸ ವ ದ ಸ ವವರ ಬ ಕ ಪ ರ ತ ಗ ಅರ ಥನ ಇಲ ಲ ಪ ರ ತ ಸ ದವರ ಗ ಸಮಯದ ಕ ರತ ಯ ಲ ಲದ ಹ ಳ ದ ಸಮಯಕ ಕ ಬ ಲ ಯ ಇಲ ಲ,1,Toxic
110,fuck contributed deleted fuck,1,Toxic
111,deleted jew dumb comment think ant semitic comment wa relevant know proper protocol short thing fixed,1,Toxic
112,death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty death woman right death woman freedom death woman liberty,1,Toxic
113,silly pov ashikaga yoshimitsu recieved 日本国王印 金印 china use nippon,1,Toxic
114,carajo also used spain spanish galician rude word penis,1,Toxic
115,rudd cunt hope terrorist kill thatr fuckin commo fuck,1,Toxic
116,another note put dispute tag page would appreciate 3rd party opinion may help fishered sb617 passing thanks sb617,0,Non-Toxic
117,changin american north american stupid call american usa people lot people country american,1,Toxic
118,fuck history fuck history bitch dont see one would want mother fucking teacher pet mean basikly sucking bitch tit u min well fuck god damn teacher,1,Toxic
119,mom fat boy slim jim,1,Toxic
120,think gay,1,Toxic
121,shitty brother really need go fuck tree well think girl need way make brother leave alone well know great tip make happy first thing first need know annoys anything like thing simply hang around matter much vomit lol two thing like pretend like annoys like opera play loudly outside door donot tell fine remember thay shit hole upset say face lololol,1,Toxic
122,paid contribution hello state play matter,0,Non-Toxic
123,total kill,1,Toxic
124,edit request 13 march 2012 go fuck binladen,1,Toxic
125,hunter kahn proposed south park episode notability task force ok made subpage user page hope eventually become south park episode notability task force part south park wikiproject check see plan make little subpages south park season listing episode article currently failing notability standard set loose deadline tentatively october 31 give little six month open changing please bear mind never started task force please let know anything wrong far believe first step bring south park wikiproject ask talk page consensus starting task force first wanted run guy see thought suggestion criticism also doe anyone want serve co coordinator please let know thanks,0,Non-Toxic
126,myspacer masochist see match com profile hey everyone barneca gemini love long walk beach romantic dinner chatting phone fact love love chat chat chat giggle phone person online chatterbox oh also like drip wax candle nipple wearing dog collar whip belt call,1,Toxic
127,chinese prostitute dont think chinese woman work prostitute russia surve chinese men,1,Toxic
128,lick sack nazi,1,Toxic
129,kill want kill hurting good people gy got first haft wate want resel gator die die,1,Toxic
130,protest artist taking part 2011 protest art uncut bono u2 tax avoidance first occasion musician taking part accused lard arsed hypocrite ibeep2009,0,Non-Toxic
131,ani review request wikipedia administrator noticeboard incident block admin pb review please,1,Toxic
132,kein problem dafür sind die bilder ja auf wikipedia und public domain,0,Non-Toxic
133,part consdiered durable car era poor quality junk manufaturer ha taken responsibilty expected take profit consumer pay failure would vw put 200 downpayment used nissian thought meant good imagine poor sucker got taken 1000 opion suggests possibly nissian dishonrable company idiot purahseing junker,0,Non-Toxic
134,tony idiot,1,Toxic
135,thanks copied another disambig page didnot notice template oh thanks backup,0,Non-Toxic
136,hey welcomed kind weird anyway please refrain removing content wikipedia blanked talk prostitution india considered vandalism want experiment please use sandbox also add link nigger disambiguation wa call porn star bitch nigger also edit summary sure prashanti another user keep mind personal attack personal attack policy thank,1,Toxic
137,good article reassessment page concern addressed review period good article status removed article,0,Non-Toxic
138,rca space followed wikilink rca space redirected ba space ba space article make mention rca space rca space thing older term thing something slightly different could somebody perhaps whoever ordered okayed redirection example please define rca space within ba space article recreate alternative page either clarity term make sense rather leaving mystery,0,Non-Toxic
139,whilst country habonim dror branch affiliated parent movement act separate organisation essentially within theirt country therefore habonim dror australia uk deffenitely warrent page,0,Non-Toxic
140,spastic ought eat shit die,1,Toxic
141,le activist dumb prawn spelt w,1,Toxic
142,hillary clinton decided drop middle name rodham biggest bitch side wisconsin,1,Toxic
143,sure going attract cn real _ dumbass,1,Toxic
144,freakin sexiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1,Toxic
145,know copy vio someone slapped tag image still otrs may wish look system closer donot know wikidrama keep bleeding common wp asshole lose quickly still donot know hurry bully editor image within minute doe one patience wp upload image common deal possible copy vio seem another focused bully doesnot like others tell shut fuck,0,Non-Toxic
146,gay deleted vandalism gay anyway block time sure,1,Toxic
147,fuck civility donot believe civility else one second believe effective else effective post change behavior better likely realistic convince join said think get hell helping achieve might fucking,1,Toxic
148,doesnot make sense doesnot make sense dollar sign,1,Toxic
149,didnot feel personally targetted abhor use language context understandable coming child adult wikipedia rule one thing importantly undermines writer argument argument whatever strong enough win merit writer feel need say word effect donot see way idiot suggests donot actually confidence argument persuasive enough isnot persuasive abuse wonot change reflects far badly writer supposed idiocy reader philosophy,1,Toxic
150,gay like penis,1,Toxic
151,blood coming penis ejaculating doe anybody know,1,Toxic
152,oral sex mention talked article fact web site mainly oral sex cum swallowing,1,Toxic
153,son bitch hey fucking neo nazi murkin son bitch fuck get fuck country move u fucking motherfucker p donot let door hit fucking way fucking bushite,1,Toxic
154,ur dick im sure u nothing better go round getting star tacking page abd shit wrote valid page u took thought could allowed opinion thnx u fucktard,1,Toxic
155,fuck bitch use proxy whatever want without getting trouble kiss,1,Toxic
156,otherwise go head retitle iraq war article operation iraqi freedom,1,Toxic
157,controversial remark alleged calling facebook user dumb f k quote avoid blocked instead reverting please consider using article talk page work toward making version represents consensus among editor refrain deleting talk page contribution without providing valid reason better tip improvement talk page source mentioned contribution http www forbes com site andygreenberg 2012 02 01 zuckerbergs hacker way letter facebooks dont evil live http gawker com 5636765 facebook ceo admits calling user dumb fuck http au businessinsider com well new zuckerberg ims wont help facebooks privacy problem 2010 5 http www theregister co uk 2010 05 14 facebook_trust_dumb http www theweek co uk technology 14625 user e2 80 98dumb fuck e2 80 99 trusting data facebook http tdh zuckerberg called early facebook user dumb fuck http anphicle com en trust dumb fuck facebook ceo mark zuckerberg http www tomsguide com u facebook mark zuckerberg social networking privacy security news 6794 html http au businessinsider com embarrassing damaging zuckerberg ims confirmed zuckerberg new yorker 2010 9 section wikipedia controversial remark valid bryant gumbel section controversial remark mel gibson section controversial remark sherrod brown section controversial remark kent hovind section controversial remark venkaiah naidu section controversial remark greg gutfeld section controversial remark lawrence cannon section controversial remark daniel bernard diplomat section controversial remark james r flynn section controversial remark many many start harvard college 19 year old facebook ceo mark zuckerberg allegedly used login data social network hack fellow student email account evidence also included instant message transcript call facebook user dumb fuck alleged following exchange 19 year old mark zuckerberg friend shortly mark launched facebook dorm room zuck yeah ever need info anyone harvard zuck ask zuck 4 000 email picture address sn redacted friend name manage one zuck people submitted zuck donot know zuck trust zuck dumb fuck another instant message im friend decided going website zuck yea going fuck zuck probably year zuck ear end,1,Toxic
158,massive faggot devil sperm mother procreating male hooker side road go fuck away fucking douche,1,Toxic
159,idea case unsolved stupidest thing ever heard brynn hartman killed phil hartman case solved 17 45 30 june 2005,0,Non-Toxic
160,get barnstar diplomacy moment calling asshole wow,1,Toxic
161,yeah work year meant create awhile back,0,Non-Toxic
162,deletion proposal article deleted big fan thing star trek individual season next generation canot made exist page star trek enterprise season 2 also superfluous like someone said fan page fucking wikipedia,1,Toxic
163,eat pussy cervical cancer,1,Toxic
164,gay surely could found another way phrase,0,Non-Toxic
165,color blind subhuman better completely blind,1,Toxic
166,go hell nosy b1tch,1,Toxic
167,fag,1,Toxic
